회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
더케이예다함(주),The K YEDAHAM,더케이예다함, ,김도한,기타법인,110111-4169862,101-86-49300,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩16층,www.yedaham.co.kr,,장례식장 및 장의관련 서비스업,2009-09-01,12월
(주)더파티움,thepartyum,더파티움, ,장영식,기타법인,110111-5261477,261-81-02975,"서울특별시 영등포구 은행로 30 (여의도동, 중소기업중앙회)B1,1,2,3층",www.thepartyum.com,,예식장업,2014-02-15,12월
주식회사 더퍼스트에스제이,thefirstsj,더퍼스트에스제이, ,김수정,기타법인,170111-0734930,394-87-01467,"대구광역시 동구 동대구로 442 (신천동, 성진빌딩) 3층", ,,"화장터 운영, 묘지 분양 및 관리업",2019-08-19,12월
(주)더피플라이프,thepeoplelife INC.,더피플라이프, ,차용섭,기타법인,110111-3304419,105-86-83519,서울특별시 마포구 신촌로12길 4 (동교동) 더피플빌딩,thepeoplelife.co.kr,,장례식장 및 장의관련 서비스업,2005-10-01,03월
더한모터스주식회사,THEHAN MOTORS,더한모터스, ,박용환,기타법인,141211-0071640,224-81-64031,강원도 원주시 치악로 1221-10 (관설동), ,,자동차 종합 수리업,2014-07-23,12월
주식회사 덕경,deuk kyung,덕경, ,김덕준,기타법인,200111-0402910,409-86-47905,광주광역시 북구 북문대로 167 (운암동), ,,예식장업,2014-08-01,12월
(주)덕송디엔씨,"Deoksongdnc co., Ldt",덕송디엔씨, ,김창언,기타법인,110111-5752400,865-86-00129,서울특별시 동작구 대방동1길 7 제이타운 2층 1호(대방동), ,,그 외 기타 협회 및 단체,2015-06-15,12월
주식회사 덕임,deokim,덕임, ,김현덕,기타법인,200111-0640346,550-86-02467,"광주광역시 서구 상무누리로 33 (치평동, 갤러리303) 105동702호", ,,자동차 세차업,2021-07-14,12월
데이온 주식회사,PRI-EX INC,데이온, ,박돈화,기타법인,110111-0774970,105-81-48050,서울특별시 강남구 삼성동 154-16 청림빌딩 3층, ,,그 외 기타 분류 안된 개인 서비스업,1991-07-01,12월
주식회사 델타,DELTA,델타, ,이혜인,기타법인,134511-0208890,142-81-58538,"경기도 용인시 수지구 신봉1로 175 6층 601호(신봉동, 진성프라자)",delta5006@naver.com,,그 외 기타 협회 및 단체,2013-04-23,12월
주식회사 도약,"DO YAK CO., LTD",도약, ,이종만,기타법인,134811-0116047,124-86-42106,경기도 화성시 기안동 371-2, ,,욕탕업,2005-12-25,12월
(주)도원이엔지,"DOWON,LTD",도원이엔지, ,목지영,기타법인,180111-0798653,621-81-94624,"부산광역시 금정구 중앙대로 1689 (부곡동, 순산후조리원)", ,,개인 간병 및 유사 서비스업,2012-03-05,12월
도이치앤베엠베모터스 주식회사,Deutsch&BMW motors INC.,도이치앤베엠베모터스, ,권오수,기타법인,110111-3892159,120-87-27380,서울특별시 강동구 천호동 452-4, ,,자동차 종합 수리업,2008-05-07,12월
재단법인 동곡산림문화재단,Donggok Forest Cultural Foundation,동곡산림문화재단, ,김석만,기타법인,140122-0007645,824-82-00625,"강원특별자치도 춘천시 중앙로 23 (중앙로1가, 강원일보사)", ,,그 외 기타 협회 및 단체,2023-10-24,12월
동광주타워주식회사,DongGwangJu Tower ,동광주타워, ,이대영,기타법인,200111-0393325,410-86-88755,광주광역시 북구 무등로 1021-25 2층(화암동), ,,예식장업,2014-03-25,12월
동국상선주식회사,"DONGKUK MARINE CO.,LTD.",동국상선, ,박향무,기타법인,180111-0048579,604-81-05257,부산광역시 동구 중앙대로180번길 6-12 (초량동)4층,www.dongkukmarine.co.kr,,그 외 기타 분류 안된 개인 서비스업,1983-03-24,12월
동군산현대서비스(주),"Donggunsan Hyundai Service Co., Ltd.",동군산현대서비스, ,채정균,기타법인,211111-0060830,555-86-01672,전북특별자치도 군산시 개정면 모갱이1길 62, ,,자동차 종합 수리업,2020-01-09,12월
(주)동방종합상조,DONG BANG TOTAL CO,동방종합상조, ,손미자,기타법인,190111-0033370,608-81-32402,"경상남도 마산시 양덕동 151-25 한백빌딩 7,8층",www.dbsangjo.com,,장례식장 및 장의관련 서비스업,1998-10-23,12월
주식회사 동부산홀딩스,DONGBUSANHDS,동부산홀딩스, ,김창근,기타법인,180111-0928268,617-86-21035,부산광역시 기장군 기장읍 기장해안로 98 1층 씨111호(시랑리), ,,"화장터 운영, 묘지 분양 및 관리업",2014-08-18,12월
동아상조(주),dongasj. co. ltd.,동아상조, ,전상수,기타법인,230111-0064772,610-81-41374,울산광역시 남구 달동 1325-10 동아빌딩 전관,www.dongasj.co.kr,,장례식장 및 장의관련 서비스업,2000-03-23,12월
재단법인 동원육영재단,Dongwon Education Foundation ,동원육영재단, ,김재철,기타법인,110122-0002435,229-82-00460,"서울특별시 서초구 마방로 68 (양재동, 동원산업빌딩)", ,,그 외 기타 협회 및 단체,1979-07-02,12월
(주)동인,"Dong-In Co., Ltd",동인, ,김정호,기타법인,170111-0007684,501-81-02422,서울특별시 은평구 대조동 197-1,www.yangjispotec.co.kr,,욕탕업,1977-06-02,12월
(주)동인천서비스,dongincheon service ,동인천서비스, ,박경준,기타법인,120111-0143743,131-81-43068,인천광역시 중구 인중로 43 (신흥동3가), ,,자동차 종합 수리업,1997-01-01,12월
(주)동일자동차공업사,Dongil Auto Industry Co,동일자동차공업사, ,황금복,기타법인,110111-0154643,218-81-00385,서울특별시 성동구 성수1가1동 617-41, ,,"화장터 운영, 묘지 분양 및 관리업",1973-11-02,12월
재단법인 동진장학연구재단 ,DONGJIN RESEARCH&ENCOURAGE LEARNING FOUNDATION,동진장학연구재단, ,이부섭,기타법인,270122-0024931,105-82-14969,서울특별시 마포구 동교동 146-8, ,,그 외 기타 분류 안된 개인 서비스업,2006-08-03,12월
두원개발(주),Doo Won,두원개발, ,박찬희,기타법인,170111-0099243,514-81-23103,대구광역시 수성구 두산동 275, ,,예식장업,1996-01-01,12월
재단법인 두을장학재단,Dooeul scholarship Foundation,두을장학재단, ,이부진,기타법인,114622-0026186,220-82-03951,"서울특별시 중구 을지로 100 (을지로2가, 파인에비뉴)",www.dooeul.or.kr,,그 외 기타 협회 및 단체,2000-02-26,12월
두제이산업 주식회사,DUJ industry co. Ltd,두제이산업, ,윤경화,기타법인,206211-0077781,684-81-02218,전라남도 여수시 호명1길 98-6 (호명동) 1층, ,,산업 단체,2020-12-21,12월
주식회사 둥지,doongji,둥지, ,공원호,기타법인,180111-0918376,617-86-19034,부산광역시 기장군 기장읍 기장해안로 32 (시랑리), ,,산업 단체,2014-06-17,12월
듀오정보주식회사,"Duo information, inc",듀오정보, ,박수경,기타법인,110111-1475410,214-86-28824,서울특별시 강남구 강남대로 406 글라스타워 11층,duo.co.kr,,결혼 상담 및 준비 서비스업,1999-01-01,12월
주식회사 드림누리,DREAMNURI CO.LTD,드림누리, ,정만근,기타법인,110111-6560282,356-88-00857,"서울특별시 강서구 마곡중앙로 150 (마곡동, 에스앤아이강서사옥)", ,,그 외 기타 달리 분류되지 않은 개인 서비스업,2017-11-07,12월
디더블유(주),DW Corporation,디더블유, ,현연주,기타법인,174611-0022761,506-81-19928,경상북도 포항시 남구 중섬로 84 (상도동)파티움하우스포항, ,,예식장업,1995-10-18,12월
(주)디아너스,The Honors,디아너스, ,장윤규,기타법인,171211-0039733,505-81-42692,경상북도 경주시 천군동 산 31번지,www.thehonors.co.kr,,그 외 기타 분류 안된 개인 서비스업,2005-11-01,12월
디에스라이프주식회사,"DS LIFE CO., LTD.",디에스라이프, ,이곤,기타법인,170111-0016750,501-81-06001,"대구광역시 수성구 달구벌대로 2461 (범어동, 디에스라이프빌딩)",WWW.SANGJO.COM,,장례식장 및 장의관련 서비스업,1982-10-07,12월
주식회사 디에스에스에프앤비,DSSF&B,디에스에스에프앤비, ,사공훈,기타법인,135811-0193557,124-87-31436,대구광역시 동구 동부로 194 101호 (효목동), ,,산업 단체,2012-05-03,12월
디에이치상조주식회사,"DH Global Co.,Ltd",디에이치상조, ,강동규,기타법인,180111-0247783,607-81-40535,부산광역시 연제구 연산5동 1287-2 은강빌딩 6층,www.globaldh.com,,그 외 기타 분류 안된 개인 서비스업,1997-12-19,12월
디오션시티이차,theoceancity2,디오션시티이차, ,채상훈,기타법인,110111-6042587,289-86-00378,서울특별시 강남구 테헤란로2길 36 460-14호(역삼동), ,,그 외 기타 협회 및 단체,2016-04-25,12월
주식회사 라움,"RAUM CO., LTD.",라움, ,손성건,기타법인,171711-0135763,225-88-00927,"경상북도 포항시 북구 소티재로151번길 5 (우현동, 라움컨벤션)", ,,예식장업,2017-10-23,12월
로얄파크컨벤션 유한회사,ROYALPARK CONVENTION,로얄파크컨벤션, ,조상연,기타법인,110114-0304060,170-88-02644,"서울특별시 용산구 이태원로 29 (용산동1가, 전쟁기념관)",www. royalpark.kr,,예식장업,2022-11-11,12월
주식회사 로터스101,"LOTUS 101 CO.,LTD.",로터스101, ,"김기필, 김민정",기타법인,175111-0022330,510-81-33273,경상북도 경산시 화랑로8길 204 (갑제동), ,,예식장업,2014-06-27,12월
롯데삼동복지재단,Lotte Samdong Welfare Foundation,롯데삼동복지재단, ,신영자,기타법인,230132-0004675,620-82-07609,울산광역시 울주군 삼동면 둔기리 588-3, ,,그 외 기타 협회 및 단체,2009-12-04,12월
롯데오토케어(주),"LOTTE auto care co.,ltd.",롯데오토케어, ,이규필,기타법인,110111-5082922,117-81-83462,"서울특별시 영등포구 문래로 83 (문래동3가, 아라비즈타워)",www.lotteautocare.com,,자동차 전문 수리업,2013-03-07,12월
롯데장학재단,Lotte scholarship foundation,롯데장학재단, ,장혜선,기타법인,181222-0000036,620-82-01186,울산광역시 울주군 삼동면 대암둔기로 246 롯데장학재단,www.lottefoundation.or.kr,,그 외 기타 협회 및 단체,1983-12-22,12월
(주)루미가넷,LUMIGARNET,루미가넷, ,전성실,기타법인,110111-1540396,211-86-28956,"서울특별시 강남구 역삼로 432 (대치동, 쌔씨존)",sassi@sassi.co.kr,,두발 미용업,1998-05-01,12월
(주)류마,ryuma,류마, ,김은주,기타법인,124411-0182676,890-86-00673,경기도 김포시 고촌읍 김포대로 349 (신곡리)1동 802호, ,,그 외 기타 협회 및 단체,2016-09-07,12월
주식회사 르노삼성자동차 사상정비사업소,"RSMsasangESC,.CO",르노삼성자동차사상정비사업소, ,이태경,기타법인,180111-0622125,607-81-84076,"부산광역시 사상구 학감대로 184-1 (학장동, 르노삼성자동차사상사업소)", ,,자동차 종합 수리업,2008-02-14,12월
르노코리아써비스코너북구점(주),Renault Korea Bukgu,르노코리아써비스코너북구점, ,석영선,기타법인,180111-1049477,691-88-00328,"부산광역시 북구 의성로 85 (덕천동, 르노삼성자동차서비스코너북구점)", ,,자동차 수리 및 세차업,2016-08-01,12월
주식회사 르노코리아자동차 서비스코너 대연점,RenaultKorea Motors Service Center Daeyeon Inc.,르노코리아자동차서비스코너대연점, ,윤원욱,기타법인,180111-0786830,617-81-95769,부산광역시 남구 유엔로 218 (대연동), ,,자동차 종합 수리업,2011-12-15,12월
리드드래곤유한공사,LEAD DRAGON LIMITED,리드드래곤유한공사, ,리밍,기타법인, ,1460632,"at Road Town, Tortola, British Virgin Islands", ,,산업 단체,2008-01-23,12월
주식회사 리치홀딩스,rich holdings,리치홀딩스, ,황성림,기타법인,180111-0896316,617-86-16833,부산광역시 해운대구 중동1로19번길 9 (중동)2층, ,,그 외 기타 협회 및 단체,2014-01-22,12월
주식회사 리컴인터내셔널,"Licom internation.co.,LTD.",리컴인터내셔널, ,정해진,기타법인,110111-1552078,120-81-81233,서울특별시 강남 논현동50-1 세라빌딩 6층,www.blueclub.co.kr,,이용업,1998-06-01,12월
린나이씨에스(주),Rinnai SC Corp.,린나이씨에스, ,서정률,기타법인,110111-2554825,110-81-57454,서울특별시 서대문구 창천동 린나이빌딩 515-1 린나이빌딩6층, ,,그 외 기타 개인 및 가정용품 수리업,2002-07-01,12월
린텍스기업주식회사,"LINTEX CO.,LTD.",린텍스기업, ,탁정식,기타법인,115911-0030884,128-81-51640,경기도 파주시 법원읍 술이홀로 960-1,www.lintex.co.kr,,세탁물 공급업,2000-08-28,12월
(주)마리진,Marizin.Inc,마리진, ,이재상,기타법인,110111-2809402,120-86-54385,"서울특별시 강남구 영동대로 506 (삼성동, 유니온타),3층",www.marizin.com,,예식장업,2003-06-30,12월
(주)마벨러스,MARVELOUS,마벨러스, ,오은환,기타법인,110111-4149533,120-87-43134,서울특별시 강남구 대치동 1004-1 ,www.marvelous.co.kr,,예식장업,2009-08-07,12월
(주)매일,-,매일, ,박호민,기타법인,200111-0358262,410-86-87528,광주광역시 광산구 용아로379번길 14 (하남동),-,,욕탕업,2014-03-06,12월
주식회사 매일상조,maeil sangjo,매일상조, ,이성억,기타법인,170111-0388349,504-81-83841,"대구광역시 중구 서성로 20 (계산동2가, 대구매일신문사,대구은행계산동지점)4층 402호",www.msangjo.com/,,장례식장 및 장의관련 서비스업,2009-10-19,12월
주식회사 메리다,MERIDA,메리다, ,김영식,기타법인,150111-0364434,419-88-02699,"충청북도 청주시 청원구 내수읍 충청대로 400 (구성리, 메리다웨딩컨벤션)",merida.kr/,,예식장업,2024-04-11,12월
(주)메리빌리아,MARRYVILIA,메리빌리아, ,장문혁,기타법인,120111-0926446,445-88-01006,"인천광역시 연수구 송도과학로16번길 33-1 (송도동, 송도트리플스트리트)A동", ,,예식장업,2018-03-15,12월
메리즈웨딩컨설팅(주),"Marrys Wedding Consulting, Inc.",메리즈웨딩컨설팅, ,송문수,기타법인,110111-2156671,211-81-00216,서울특별시 강남구 청담동 85-2 유리빌딩 1층,www.marrys.co.kr,,그 외 기타 분류 안된 개인 서비스업,2001-01-26,12월
(주)메이세이금속공업,"MEISEI METAL INDUSTRIES CO., LTD",메이세이금속공업, ,YOZO UEDA,기타법인, ,12276,4-5-12. NOZIKI. DAITO CITY. OSAKA. JAPAN, ,,그 외 기타 분류 안된 개인 서비스업,1970-11-14,12월
명일주차장주식회사,MYUNG IL,명일주차장, ,조규동,기타법인,110111-0900103,212-81-23473,서울특별시 강동구 명일동 47-7, ,,그 외 기타 분류 안된 개인 서비스업,1992-11-06,12월
모닝브릿지(주),morning bridge,모닝브릿지, ,이계진,기타법인,134511-0091253,135-81-78652,경기도 용인시 기흥구 보정동 1195-1 메트로프라자 603호, ,,"화장터 운영, 묘지 분양 및 관리업",2005-06-10,12월
모던종합상조주식회사,MODERN.CO.LTD,모던종합상조, ,김호철,기타법인,160111-0177786,305-81-70638,"대전광역시 동구 동대전로 200 4층 (자양동, 예일크리닉빌딩)",www.md1766.com,,장례식장 및 장의관련 서비스업,2004-08-11,12월
주식회사 모두커뮤니케이션,Modoo Communication. co.Ltd.,모두커뮤니케이션, ,신동선,기타법인,160111-0232803,305-81-89743,충청북도 청주시 흥덕구 봉명동 2449 청주파비뇽2층, ,,예식장업,2007-11-01,12월
모아빛 주식회사,"MOREBIT Co., Ltd.",모아빛, ,송지웅,기타법인,110111-0944380,194-81-03994,"서울특별시 강남구 선릉로111길 8 (논현동, 윙갤러리빌딩)", ,,자동차 세차업,2025-12-08,12월
재단법인 목암과학장학재단,MSSF,목암과학장학재단, ,허은철,기타법인,134522-0001209,135-82-12055,"서울특별시 서초구 강남대로41길 15-19 (서초동, M11빌딩) 3층",www.mogamfoundation.or.kr,,그 외 기타 협회 및 단체,2005-12-21,12월
